ID,NAME,RESPONSE,PREFEC,DISTRICT,PR,PRBLOCK,PARTY,MINSHIN,INCUMB,TERM,SEX,AGE,RESULT,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q3,SQ3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7,SQ7_1_1,SQ7_1_2,SQ7_1_3,SQ7_2,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q1_1_FA,Q1_2_FA,Q1_3_FA,SQ7_1_1_FA,SQ7_1_2_FA,SQ7_1_3_FA
1,船橋利実,1,1,1,0,51,1,66,2,1,1,56,3,5,6,3,100,0,100,0,0,0,0,80,0,100,1,4,1,3,1,1,1,3,1,3,2,3,3,3,2,3,3,2,4,3,4,4,4,3,3,3,3,3,2,1,9,8,3,2,3,1,1,1,1,1,1,1,1,2,,,,,,
2,道下大樹,1,1,1,0,51,8,2,1,0,1,41,2,16,5,6,0,95,20,35,5,40,80,0,10,0,4,66,3,5,5,1,5,5,4,5,2,1,5,3,5,1,3,1,5,4,5,2,5,4,3,5,5,3,5,4,66,66,66,66,5,5,5,2,5,5,5,5,5,5,経済・雇用,,,,,
3,吉川貴盛,1,1,2,0,51,1,66,3,5,1,67,2,1,5,6,100,0,100,0,50,0,0,50,0,100,1,4,1,3,1,1,99,3,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,9,11,3,2,1,1,1,1,1,1,1,1,2,2,,,,,教育の充実,
4,金倉昌俊,1,1,2,0,51,3,66,1,0,1,43,1,12,1,16,10,999,10,100,10,50,80,0,10,0,5,66,5,5,5,1,5,5,2,3,1,1,5,3,5,1,1,1,5,4,5,1,5,5,5,5,5,3,5,5,66,66,66,66,5,5,5,5,5,5,5,5,5,5,,,消費税10%中止,,,
5,小和田康文,1,1,2,0,51,4,66,1,0,1,47,1,5,11,10,60,0,50,0,100,0,0,50,70,70,5,66,1,5,2,3,3,2,4,2,1,1,4,2,4,2,3,1,1,3,3,3,5,1,3,2,1,5,3,1,3,2,4,1,2,4,1,1,2,1,3,1,1,5,,,,,,
6,松木謙公,1,1,2,0,51,7,1,3,4,1,58,1,5,6,7,999,999,999,999,999,999,999,999,999,999,3,3,3,3,3,2,3,4,2,3,2,2,3,3,4,3,3,4,3,4,4,2,3,3,3,4,3,2,3,2,10,4,8,2,3,4,5,2,3,4,3,3,5,5,,,,,,
7,高木宏寿,1,1,3,0,51,1,66,3,2,1,57,1,5,3,1,90,5,80,0,50,5,0,60,60,90,2,5,1,2,1,2,2,4,3,2,2,2,2,3,1,5,5,3,4,2,3,5,3,2,4,2,3,2,4,1,1,9,2,1,2,1,2,3,1,1,2,2,1,3,,,,,,
8,荒井聰,1,1,3,0,51,8,2,3,7,1,71,2,12,5,15,999,999,999,999,999,999,999,999,999,999,4,66,3,5,2,1,5,4,4,4,3,2,4,3,4,1,2,1,5,4,5,2,4,2,3,3,3,4,5,2,10,6,7,2,5,5,5,2,3,5,3,4,5,5,,,,,,
9,中村裕之,1,1,4,0,51,1,66,3,2,1,56,2,1,5,3,100,50,100,50,50,50,50,50,50,100,1,4,1,3,1,1,2,3,1,1,1,3,3,3,1,3,4,2,4,3,3,4,2,3,3,3,3,3,2,1,3,1,11,2,3,1,1,1,1,1,1,1,1,3,,,,,,教育の充実
10,高橋美穂,1,1,4,0,51,7,66,2,1,2,52,1,5,10,7,25,50,50,25,25,25,25,50,100,25,4,66,2,2,3,1,3,4,2,4,1,4,5,2,5,1,2,2,1,3,5,2,4,1,3,4,2,4,4,2,4,5,8,2,2,5,4,3,4,3,4,5,3,5,,,,,,
11,本多平直,1,1,4,0,51,8,2,2,2,1,52,3,5,1,6,10,100,20,70,10,70,80,0,10,0,5,66,4,4,4,1,5,5,3,2,2,2,5,2,4,1,1,2,5,4,5,2,3,3,4,4,4,3,5,5,66,66,66,66,5,5,5,4,5,5,4,5,5,5,,,,,,
12,和田義明,1,1,5,0,51,1,66,3,1,1,46,2,3,1,4,100,0,95,0,51,0,0,0,0,95,1,2,1,3,2,3,2,2,2,2,3,4,2,2,2,3,3,5,4,2,2,4,4,2,2,4,3,2,4,1,9,1,99,2,1,2,3,4,2,1,2,3,1,3,,,,,,
13,池田真紀,1,1,5,0,51,8,2,1,0,2,45,3,5,12,1,0,95,5,55,0,60,70,0,60,0,4,66,4,5,5,1,5,5,2,2,1,1,5,2,4,1,1,1,5,5,5,2,3,4,3,4,4,3,4,4,66,66,66,66,5,4,5,4,5,5,3,5,5,5,,,,,,
14,森山佳則,1,1,5,0,66,9,66,1,0,1,50,1,1,16,14,30,30,30,10,30,20,20,55,30,30,5,66,1,1,1,5,1,99,3,2,5,5,5,2,1,4,4,2,1,1,2,5,3,1,5,3,2,1,2,1,1,11,5,1,5,4,3,2,5,2,5,5,4,5,,消費税減税,,,信教の自由（２０条）の付帯条項,
15,今津寛,1,1,6,0,51,1,66,3,7,1,71,1,1,7,4,100,0,100,0,0,0,0,0,0,100,1,4,1,3,1,1,1,3,2,3,2,3,3,3,2,4,4,2,2,3,3,4,4,3,3,2,3,3,2,1,1,9,11,2,1,1,1,1,1,1,1,1,1,2,,,,,,教育の充実
16,佐々木隆博,1,1,6,0,66,8,2,3,3,1,68,2,4,6,12,0,80,20,50,0,50,50,0,10,0,3,99,4,5,4,1,5,4,3,4,1,1,5,3,3,2,2,2,5,4,4,3,4,4,4,4,4,4,5,4,66,66,66,66,5,5,5,2,5,5,4,4,5,5,,,,,,
17,伊東良孝,1,1,7,0,51,1,66,3,3,1,68,2,1,5,4,100,40,80,30,50,20,20,40,30,80,2,4,1,3,1,2,1,3,2,2,2,2,2,2,2,3,4,5,5,4,1,3,4,4,3,4,4,4,2,2,1,9,2,2,2,2,3,1,2,1,2,2,2,3,,,,,,
18,石川明美,1,1,7,0,66,3,66,1,0,1,66,1,12,6,7,0,50,0,100,20,50,70,0,0,0,5,66,5,5,5,1,5,5,3,5,1,1,5,5,5,1,1,1,5,5,5,1,5,5,5,5,5,3,5,5,66,66,66,66,5,5,5,3,5,5,5,5,5,5,,,,,,
19,前田一男,1,1,8,0,51,1,66,3,2,1,51,1,7,6,1,100,0,100,0,100,30,0,999,70,100,2,2,2,2,2,99,2,5,1,2,2,3,3,2,99,2,99,99,99,99,4,2,99,2,99,4,99,4,4,1,11,9,99,2,1,1,1,1,1,1,1,1,1,1,,,,前文,,
